household_id,house_size,sqft,occupants,owns_PhoneCharging,owns_Radio,owns_TV,owns_IronBox,owns_ElectricKettle,owns_Fridge,owns_Microwave,owns_WashingMachine,owns_Laptop,owns_DeepFreezer,owns_Fan,owns_WaterHeater,monthly_consumption_kwh,monthly_bill_kes
H00001,2 Beds,857.0,5,1,1,1,1,1,1,1,0,0,0.0,0,0,164.34,4139
H00002,3+ Beds,1219.0,6,0,0,1,1,0,1,0,0,1,0.0,1,0,182.28,4640
H00003,2 Beds,892.0,4,1,1,1,1,0,0,0,0,1,0.0,1,0,97.47,2278
H00004,1 Bed,629.0,3,1,1,1,1,0,0,1,0,0,0.0,0,1,124.06,3013
H00005,1 Bed,676.0,2,1,0,0,1,1,1,0,0,0,0.0,0,1,117.53,2831
H00006,3+ Beds,1218.0,6,1,0,1,1,1,1,0,0,0,0.0,1,0,163.24,4108
H00007,Studio,456.0,2,1,1,1,1,1,1,0,0,0,0.0,0,0,103.19,2430
H00008,3+ Beds,1186.0,7,1,1,0,1,0,1,0,0,0,0.0,1,0,139.02,3431
H00009,2 Beds,899.0,5,1,1,1,1,0,0,0,0,0,0.0,1,0,111.78,2670
H00010,1 Bed,574.0,3,1,1,1,1,0,1,0,0,0,0.0,0,0,123.92,3009
H00011,1 Bed,573.0,2,1,0,1,1,1,1,0,0,1,0.0,1,1,169.45,4281
H00012,1 Bed,624.0,3,1,0,1,1,1,0,1,0,1,0.0,0,0,103.82,2448
H00013,1 Bed,656.0,3,1,0,0,1,1,0,0,0,0,0.0,0,0,58.51,1309
H00014,1 Bed,720.0,3,1,0,1,1,1,0,1,0,0,0.0,0,0,85.04,1969
H00015,2 Beds,916.0,5,1,1,1,1,0,1,0,0,1,0.0,0,0,146.58,3642
H00016,2 Beds,862.0,5,0,0,1,1,0,1,0,0,0,0.0,0,1,173.6,4397
H00017,3+ Beds,1181.0,3,1,1,1,1,0,0,0,0,1,0.0,1,0,102.93,2423
H00018,2 Beds,,5,1,0,1,0,1,0,1,0,1,0.0,1,0,141.76,3508
H00019,2 Beds,899.0,4,1,1,1,1,0,0,1,1,1,0.0,1,0,106.15,2513
H00020,3+ Beds,1197.0,3,1,1,1,0,0,0,0,0,0,0.0,0,0,73.96,1693
H00021,1 Bed,,1,1,1,1,0,0,1,0,1,1,0.0,0,0,111.3,2657
H00022,1 Bed,661.0,3,1,1,1,1,1,1,0,0,1,0.0,0,0,133.02,3264
H00023,2 Beds,942.0,2,1,1,1,1,1,0,1,1,0,0.0,0,1,126.19,3073
H00024,Studio,478.0,1,0,0,0,1,0,0,1,0,1,0.0,1,1,134.16,3296
H00025,Studio,405.0,2,1,1,0,0,1,0,1,1,0,0.0,0,1,131.16,3212
H00026,2 Beds,934.0,5,1,1,1,0,0,1,1,1,1,0.0,0,0,182.35,4642
H00027,1 Bed,611.0,3,1,1,1,1,0,0,1,0,1,0.0,1,0,94.63,2208
H00028,3+ Beds,1216.0,4,1,1,1,0,1,1,1,0,0,1.0,1,1,282.28,7433
H00029,2 Beds,904.0,3,1,1,0,1,1,0,0,0,0,0.0,0,0,77.64,1785
H00030,2 Beds,967.0,2,1,0,1,1,0,0,0,1,1,0.0,0,0,80.7,1861
H00031,1 Bed,647.0,2,1,1,0,1,0,1,0,0,1,0.0,0,0,93.16,2171
H00032,1 Bed,647.0,3,1,0,1,1,0,1,1,1,0,0.0,1,0,160.13,4021
H00033,Studio,440.0,2,1,1,0,0,1,1,0,1,0,1.0,1,0,147.79,3676
H00034,1 Bed,685.0,2,1,1,1,1,0,0,0,1,1,0.0,0,0,91.07,2119
H00035,2 Beds,913.0,3,1,1,1,1,1,0,1,0,1,0.0,0,0,82.09,1896
H00036,1 Bed,640.0,3,1,0,0,1,0,1,0,0,0,0.0,0,0,83.67,1935
H00037,1 Bed,684.0,1,1,0,1,1,0,1,0,0,0,0.0,0,0,106.18,2514
H00038,Studio,534.0,2,1,0,0,0,0,0,0,0,1,0.0,1,0,60.81,1366
H00039,3+ Beds,1265.0,5,1,0,1,1,0,1,0,0,1,1.0,0,0,232.78,6050
H00040,1 Bed,710.0,3,1,1,1,1,1,0,0,1,0,0.0,0,0,91.09,2120
H00041,1 Bed,630.0,1,1,0,0,0,0,1,0,0,0,0.0,0,0,70.99,1620
H00042,3+ Beds,1197.0,3,1,0,1,1,1,1,0,1,1,0.0,0,1,180.61,4593
H00043,2 Beds,907.0,5,1,0,0,1,0,1,1,0,0,0.0,0,0,135.5,3333
H00044,3+ Beds,,7,1,1,0,1,1,0,1,0,1,0.0,0,1,203.73,5239
H00045,2 Beds,969.0,2,1,1,1,0,0,0,0,0,0,0.0,1,0,75.41,1729
H00046,2 Beds,844.0,2,1,0,1,1,0,0,0,0,0,0.0,0,0,69.45,1581
H00047,Studio,467.0,1,1,0,1,0,1,0,0,0,0,0.0,1,0,56.11,1249
H00048,2 Beds,852.0,3,1,1,1,1,0,1,0,0,1,1.0,0,1,242.84,6331
H00049,2 Beds,906.0,3,1,1,1,1,0,1,0,0,0,0.0,0,1,181.48,4617
H00050,3+ Beds,1233.0,3,1,0,1,1,1,0,0,1,0,0.0,1,1,165.96,4184
H00051,1 Bed,671.0,3,1,1,1,1,0,0,0,0,1,0.0,0,0,64.9,1468
H00052,2 Beds,867.0,5,1,1,1,1,0,0,0,0,0,0.0,1,0,103.56,2441
H00053,Studio,425.0,2,1,1,1,1,0,0,1,0,0,0.0,0,1,115.24,2767
H00054,1 Bed,687.0,3,1,1,0,1,0,0,0,0,0,0.0,0,1,97.84,2288
H00055,1 Bed,648.0,3,1,0,1,1,1,0,0,1,0,0.0,0,0,86.84,2014
H00056,1 Bed,656.0,2,1,1,0,0,1,1,0,0,1,0.0,0,0,102.48,2411
H00057,3+ Beds,1238.0,7,1,1,1,1,1,0,0,0,0,0.0,1,0,155.21,3884
H00058,1 Bed,552.0,2,1,1,1,1,0,0,1,0,0,0.0,1,1,126.43,3080
H00059,3+ Beds,1211.0,4,1,1,1,1,1,0,0,0,0,0.0,0,0,126.62,3085
H00060,2 Beds,951.0,4,1,0,0,1,0,1,0,0,0,,1,0,129.58,3168
H00061,2 Beds,971.0,5,1,1,1,1,0,1,1,0,0,1.0,0,0,167.14,4217
H00062,2 Beds,928.0,4,1,0,1,1,1,1,0,0,0,0.0,0,0,170.91,4322
H00063,2 Beds,872.0,5,1,0,1,1,1,1,0,0,0,0.0,1,0,156.64,3923
H00064,1 Bed,689.0,1,1,1,1,1,1,1,0,0,1,0.0,0,1,156.85,3929
H00065,1 Bed,725.0,2,1,1,1,1,0,1,1,0,0,0.0,1,0,131.53,3222
H00066,1 Bed,626.0,2,1,1,1,1,0,1,0,0,1,1.0,0,0,199.27,5114
H00067,1 Bed,623.0,2,1,1,1,1,1,1,0,0,0,0.0,1,0,141.88,3511
H00068,Studio,445.0,1,1,1,1,1,0,0,1,0,0,0.0,0,0,49.27,1079
H00069,3+ Beds,1185.0,7,1,1,0,1,1,1,0,0,1,0.0,1,0,182.7,4651
H00070,1 Bed,571.0,2,1,0,1,1,0,0,0,0,0,1.0,0,1,171.28,4332
H00071,2 Beds,808.0,5,1,1,1,1,1,0,0,0,1,0.0,0,0,104.08,2455
H00072,1 Bed,600.0,1,1,0,1,1,0,0,0,0,0,0.0,0,1,64.21,1451
H00073,3+ Beds,1176.0,6,1,0,1,1,0,1,0,1,0,0.0,0,1,203.26,5226
H00074,2 Beds,918.0,4,1,1,1,1,1,1,0,0,1,0.0,0,1,202.47,5204
H00075,Studio,430.0,2,1,1,1,1,1,0,0,0,0,0.0,0,0,67.64,1536
H00076,3+ Beds,1208.0,7,1,0,1,0,1,0,1,0,0,0.0,0,0,130.17,3184
H00077,3+ Beds,1255.0,3,1,1,1,0,1,0,0,0,1,0.0,0,0,97.54,2280
H00078,3+ Beds,,4,1,1,1,1,0,0,1,0,1,0.0,1,0,116.56,2804
H00079,2 Beds,935.0,4,1,0,1,1,1,0,0,0,1,0.0,1,0,97.66,2283
H00080,Studio,413.0,2,1,1,0,1,0,1,1,0,0,0.0,0,0,92.48,2154
H00081,1 Bed,690.0,3,1,1,1,1,0,1,0,0,1,0.0,0,0,138.17,3408
H00082,3+ Beds,1201.0,7,1,1,1,1,1,1,1,0,0,0.0,0,0,180.2,4582
H00083,2 Beds,914.0,5,1,1,0,0,0,0,0,0,1,0.0,1,0,90.43,2103
H00084,1 Bed,689.0,3,1,1,1,1,1,1,0,0,1,0.0,0,0,136.04,3348
H00085,3+ Beds,1231.0,7,1,1,1,0,0,0,0,0,1,0.0,1,0,135.94,3345
H00086,2 Beds,849.0,3,1,1,1,0,0,0,0,0,0,0.0,0,0,64.17,1450
